epoch 202, time = 28.92, error = 11779.2006315
epoch 203, time = 29.123, error = 7859.69630134
epoch 204, time = 28.681, error = 9849.42306958
epoch 205, time = 29.552, error = 9337.77472739
epoch 206, time = 28.697, error = 8841.06257142
epoch 207, time = 28.512, error = 9355.78457447
epoch 208, time = 27.944, error = 9523.5122269
epoch 209, time = 29.151, error = 10318.7622932
epoch 210, time = 28.55, error = 10765.3121285
epoch 211, time = 29.47, error = 10138.7777579
epoch 212, time = 28.915, error = 8776.85157381
epoch 213, time = 28.837, error = 8007.10321661
epoch 214, time = 28.448, error = 9102.91190942
epoch 215, time = 29.426, error = 9808.01559493
epoch 216, time = 28.658, error = 7164.85401054
epoch 217, time = 28.589, error = 7576.92681168
epoch 218, time = 28.559, error = 7942.70710463
epoch 219, time = 29.022, error = 8966.34984549
epoch 220, time = 28.829, error = 8472.43457155
epoch 221, time = 29.403, error = 9304.12519326
epoch 222, time = 29.413, error = 8479.47632364
epoch 223, time = 29.724, error = 9250.99071919
epoch 224, time = 28.547, error = 10942.0878266
epoch 225, time = 30.728, error = 5030.65150362
epoch 226, time = 29.256, error = 8493.58673761
epoch 227, time = 29.507, error = 9267.16731174
epoch 228, time = 29.236, error = 5730.37052907
epoch 229, time = 29.311, error = 7060.5642863
epoch 230, time = 29.18, error = 5814.44559465
epoch 231, time = 30.08, error = 7242.13063307
epoch 232, time = 29.023, error = 5479.83497708
epoch 233, time = 29.572, error = 6808.87138405
epoch 234, time = 29.048, error = 7363.40200687
epoch 235, time = 29.443, error = 6588.80182596
epoch 236, time = 29.101, error = 6234.10671443
epoch 237, time = 29.011, error = 6856.13695991
epoch 238, time = 29.057, error = 6687.79728404
epoch 239, time = 29.009, error = 6148.59756914
epoch 240, time = 28.379, error = 5424.26520313
epoch 241, time = 29.983, error = 6471.82968712
epoch 242, time = 29.024, error = 5228.10968267
epoch 243, time = 29.266, error = 5977.78743772
epoch 244, time = 29.16, error = 5768.00834951
epoch 245, time = 29.863, error = 7264.07963123
epoch 246, time = 29.046, error = 6090.13181081
epoch 247, time = 28.873, error = 8918.81686346
epoch 248, time = 29.549, error = 7399.91956367
epoch 249, time = 29.583, error = 5845.77461037
epoch 250, time = 28.92, error = 6659.27316105
epoch 251, time = 31.83, error = 7706.43726471
epoch 252, time = 30.623, error = 5008.75847564
epoch 253, time = 29.419, error = 4386.06614114
epoch 254, time = 28.67, error = 6122.93465688
epoch 255, time = 29.715, error = 5031.90676483
epoch 256, time = 28.655, error = 5443.8030546
epoch 257, time = 28.941, error = 5113.39264089
epoch 258, time = 28.61, error = 4514.40313914
epoch 259, time = 28.976, error = 14139.7340508
epoch 260, time = 29.147, error = 4562.64043146
epoch 261, time = 28.777, error = 8821.70468198
epoch 262, time = 28.997, error = 6117.88781029
epoch 263, time = 28.841, error = 7399.73723895
epoch 264, time = 28.892, error = 4504.72412749
epoch 265, time = 28.072, error = 6929.85486737
epoch 266, time = 29.011, error = 4733.00518378
epoch 267, time = 28.639, error = 6729.4482006
epoch 268, time = 29.009, error = 4842.53688132
epoch 269, time = 28.773, error = 5358.35038358
epoch 270, time = 28.665, error = 7167.03446967
epoch 271, time = 28.48, error = 5017.57780263
epoch 272, time = 29.142, error = 11465.2714763
epoch 273, time = 28.27, error = 5099.87686933
epoch 274, time = 28.872, error = 6963.71291477
epoch 275, time = 28.539, error = 5377.45370456
epoch 276, time = 29.699, error = 5537.46539296
epoch 277, time = 28.325, error = 7555.06114303
epoch 278, time = 29.748, error = 5045.59810196
epoch 279, time = 29.955, error = 4861.98463801
epoch 280, time = 28.997, error = 5246.80462455
epoch 281, time = 28.593, error = 3767.59499403
epoch 282, time = 28.775, error = 5340.47866261
epoch 283, time = 29.064, error = 5043.93996137
epoch 284, time = 29.007, error = 4330.21835122
epoch 285, time = 28.626, error = 4047.34834076
epoch 286, time = 29.046, error = 5257.06924669
epoch 287, time = 28.679, error = 4404.46495826
epoch 288, time = 28.246, error = 4285.7433767
epoch 289, time = 28.549, error = 4095.71785469
epoch 290, time = 28.849, error = 3211.1561816
epoch 291, time = 28.878, error = 3274.41916102
epoch 292, time = 28.848, error = 6918.66378181
epoch 293, time = 28.729, error = 4091.24146418
epoch 294, time = 28.286, error = 4143.83872256
epoch 295, time = 28.407, error = 3177.00932799
epoch 296, time = 28.882, error = 3466.43416347
epoch 297, time = 29.239, error = 3831.7932785
epoch 298, time = 28.553, error = 4646.93878881
epoch 299, time = 28.662, error = 4231.25186431
epoch 300, time = 28.654, error = 7422.10443506
epoch 301, time = 30.852, error = 3192.06644026
epoch 302, time = 29.43, error = 5305.28551801
epoch 303, time = 28.319, error = 3456.26701964
epoch 304, time = 28.717, error = 5498.18218972
epoch 305, time = 29.964, error = 3009.56107899
epoch 306, time = 28.607, error = 4087.67007678
epoch 307, time = 28.84, error = 6029.90506798
epoch 308, time = 29.73, error = 3542.1650563
epoch 309, time = 28.763, error = 4074.7595311
epoch 310, time = 28.98, error = 3303.07718793
epoch 311, time = 28.632, error = 3015.26667653
epoch 312, time = 28.783, error = 3008.98925921
epoch 313, time = 28.647, error = 5235.95176598
epoch 314, time = 28.71, error = 4573.02241429
epoch 315, time = 28.734, error = 2813.51987315
epoch 316, time = 28.434, error = 2569.37189492
epoch 317, time = 28.868, error = 2433.75352358
epoch 318, time = 28.595, error = 3193.47808631
epoch 319, time = 28.691, error = 3557.32385001
epoch 320, time = 28.445, error = 2674.36775651
epoch 321, time = 29.428, error = 5622.86187442
epoch 322, time = 29.076, error = 2501.22591562
epoch 323, time = 28.475, error = 2442.26437446
epoch 324, time = 28.553, error = 3187.8727393
epoch 325, time = 28.866, error = 2741.29555457
epoch 326, time = 28.405, error = 3804.95862152
epoch 327, time = 28.779, error = 2439.87116382
epoch 328, time = 28.519, error = 3544.10480269
epoch 329, time = 29.154, error = 2401.93243348
epoch 330, time = 29.235, error = 2296.6552533
epoch 331, time = 29.583, error = 11095.467728
epoch 332, time = 29.876, error = 2323.03461903
epoch 333, time = 29.302, error = 3971.10070077
epoch 334, time = 28.571, error = 2720.08677643
epoch 335, time = 29.344, error = 3701.43301692
epoch 336, time = 28.937, error = 2375.01144879
epoch 337, time = 28.929, error = 2397.89919282
epoch 338, time = 29.323, error = 2501.18136228
